accounts,alive,deaths,peak_live,exceeds_20_live,copies,purchase_cost_usd,ongoing_net_usd,terminal_received_usd,total_net_usd,case,start_year,initial_cash_usd,monthly_contribution_usd,purchase_policy,withdrawal,reference_copies,demand_sha256,arm,emergency_seats,extra_purchase_cost_usd,additional_external_funding_usd,delta_ongoing_usd,delta_total_usd
5,0,5,5,False,1443,1000.0,-1000.0,0.0,-1000.0,2020_1000_0_weekly_one_maximum_weekly_31600,2020,1000,0,weekly_one,maximum_weekly_31600,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,reference,0,0,0,0,0
25,25,0,25,True,1443,5000.0,-5000.0,0.0,-5000.0,2020_1000_0_weekly_one_maximum_weekly_31600,2020,1000,0,weekly_one,maximum_weekly_31600,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,max_headroom,0,4000.0,4000.0,-4000.0,-4000.0
25,25,0,25,True,1443,5000.0,-5000.0,0.0,-5000.0,2020_1000_0_weekly_one_maximum_weekly_31600,2020,1000,0,weekly_one,maximum_weekly_31600,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,round_robin,0,4000.0,4000.0,-4000.0,-4000.0
5,0,5,5,False,1443,1000.0,-1000.0,0.0,-1000.0,2020_1000_0_weekly_one_minimum_calendar_month_30000,2020,1000,0,weekly_one,minimum_calendar_month_30000,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,reference,0,0,0,0,0
25,25,0,25,True,1443,5000.0,-5000.0,0.0,-5000.0,2020_1000_0_weekly_one_minimum_calendar_month_30000,2020,1000,0,weekly_one,minimum_calendar_month_30000,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,max_headroom,0,4000.0,4000.0,-4000.0,-4000.0
25,25,0,25,True,1443,5000.0,-5000.0,0.0,-5000.0,2020_1000_0_weekly_one_minimum_calendar_month_30000,2020,1000,0,weekly_one,minimum_calendar_month_30000,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,round_robin,0,4000.0,4000.0,-4000.0,-4000.0
60,20,40,20,False,146219,12000.0,361600.0,102711.75,464311.75,2020_1000_200_monthly_one_minimum_daily_31900,2020,1000,200,monthly_one,minimum_daily_31900,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,reference,0,0,0,0,0
300,300,0,300,True,146219,60000.0,273000.0,0.0,273000.0,2020_1000_200_monthly_one_minimum_daily_31900,2020,1000,200,monthly_one,minimum_daily_31900,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,max_headroom,0,48000.0,35900.0,-88600.0,-191311.75
300,128,172,220,True,146219,60000.0,-42500.0,151685.38,109185.38,2020_1000_200_monthly_one_minimum_daily_31900,2020,1000,200,monthly_one,minimum_daily_31900,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,round_robin,0,48000.0,47200.0,-404100.0,-355126.37
60,20,40,20,False,146219,12000.0,373130.03,87940.55,461070.58,2020_1000_200_monthly_one_maximum_weekly_31600,2020,1000,200,monthly_one,maximum_weekly_31600,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,reference,0,0,0,0,0
300,300,0,300,True,146219,60000.0,297588.85,70481.45,368070.3,2020_1000_200_monthly_one_maximum_weekly_31600,2020,1000,200,monthly_one,maximum_weekly_31600,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,max_headroom,0,48000.0,33988.9,-75541.18,-93000.28
300,128,172,220,True,146219,60000.0,-36699.55,142778.75,106079.2,2020_1000_200_monthly_one_maximum_weekly_31600,2020,1000,200,monthly_one,maximum_weekly_31600,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,round_robin,0,48000.0,47200.0,-409829.58,-354991.38
60,20,40,20,False,146219,12000.0,270000.0,194311.75,464311.75,2020_1000_200_monthly_one_minimum_calendar_month_30000,2020,1000,200,monthly_one,minimum_calendar_month_30000,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,reference,0,0,0,0,0
300,300,0,300,True,146219,60000.0,196500.0,197763.22,394263.22,2020_1000_200_monthly_one_minimum_calendar_month_30000,2020,1000,200,monthly_one,minimum_calendar_month_30000,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,max_headroom,0,48000.0,30400.0,-73500.0,-70048.53
300,128,172,220,True,146219,60000.0,500.0,167662.93,168162.93,2020_1000_200_monthly_one_minimum_calendar_month_30000,2020,1000,200,monthly_one,minimum_calendar_month_30000,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,round_robin,0,48000.0,46700.0,-269500.0,-296148.82
75,20,55,20,False,178247,15000.0,449800.0,100881.87,550681.87,2020_1000_200_weekly_one_minimum_daily_31900,2020,1000,200,weekly_one,minimum_daily_31900,178247,da2ec680de9ce9086e4016acb777637288a366303ec11534fbdd97648313cf50,reference,0,0,0,0,0
375,375,0,375,True,178247,75000.0,317000.0,518.05,317518.05,2020_1000_200_weekly_one_minimum_daily_31900,2020,1000,200,weekly_one,minimum_daily_31900,178247,da2ec680de9ce9086e4016acb777637288a366303ec11534fbdd97648313cf50,max_headroom,0,60000.0,66600.0,-132800.0,-233163.82
375,124,251,255,True,178247,75000.0,-23500.0,141491.96,117991.96,2020_1000_200_weekly_one_minimum_daily_31900,2020,1000,200,weekly_one,minimum_daily_31900,178247,da2ec680de9ce9086e4016acb777637288a366303ec11534fbdd97648313cf50,round_robin,0,60000.0,66600.0,-473300.0,-432689.91
75,20,55,20,False,178068,15000.0,460918.96,89762.83,550681.79,2020_1000_200_weekly_one_maximum_weekly_31600,2020,1000,200,weekly_one,maximum_weekly_31600,178068,882d4dd5cb6e4de235ca78b99173bc6be02d8c10c071ca1e41e9cf4106e8f622,reference,0,0,0,0,0
375,375,0,375,True,178068,75000.0,357276.5,102108.84,459385.34,2020_1000_200_weekly_one_maximum_weekly_31600,2020,1000,200,weekly_one,maximum_weekly_31600,178068,882d4dd5cb6e4de235ca78b99173bc6be02d8c10c071ca1e41e9cf4106e8f622,max_headroom,0,60000.0,66600.0,-103642.46,-91296.45
375,148,227,287,True,178068,75000.0,-10782.05,173130.0,162347.95,2020_1000_200_weekly_one_maximum_weekly_31600,2020,1000,200,weekly_one,maximum_weekly_31600,178068,882d4dd5cb6e4de235ca78b99173bc6be02d8c10c071ca1e41e9cf4106e8f622,round_robin,0,60000.0,66600.0,-471701.01,-388333.84
75,20,55,20,False,178247,15000.0,324500.0,226181.87,550681.87,2020_1000_200_weekly_one_minimum_calendar_month_30000,2020,1000,200,weekly_one,minimum_calendar_month_30000,178247,da2ec680de9ce9086e4016acb777637288a366303ec11534fbdd97648313cf50,reference,0,0,0,0,0
375,375,0,375,True,178247,75000.0,217000.0,224154.74,441154.74,2020_1000_200_weekly_one_minimum_calendar_month_30000,2020,1000,200,weekly_one,minimum_calendar_month_30000,178247,da2ec680de9ce9086e4016acb777637288a366303ec11534fbdd97648313cf50,max_headroom,0,60000.0,66600.0,-107500.0,-109527.13
375,124,251,255,True,178247,75000.0,48000.0,162402.97,210402.97,2020_1000_200_weekly_one_minimum_calendar_month_30000,2020,1000,200,weekly_one,minimum_calendar_month_30000,178247,da2ec680de9ce9086e4016acb777637288a366303ec11534fbdd97648313cf50,round_robin,0,60000.0,66600.0,-276500.0,-340278.9
59,20,39,20,False,145406,11800.0,361800.0,102711.75,464511.75,2020_5000_0_monthly_one_minimum_daily_31900,2020,5000,0,monthly_one,minimum_daily_31900,145406,3028b6cdc0860b0e845b6eea593882ee077105abbb20e7cfa1427695b7fd4eb3,reference,0,0,0,0,0
295,295,0,295,True,145406,59000.0,278500.0,0.0,278500.0,2020_5000_0_monthly_one_minimum_daily_31900,2020,5000,0,monthly_one,minimum_daily_31900,145406,3028b6cdc0860b0e845b6eea593882ee077105abbb20e7cfa1427695b7fd4eb3,max_headroom,0,47200.0,39500.0,-83300.0,-186011.75
295,135,160,185,True,145406,59000.0,-42000.0,146260.7,104260.7,2020_5000_0_monthly_one_minimum_daily_31900,2020,5000,0,monthly_one,minimum_daily_31900,145406,3028b6cdc0860b0e845b6eea593882ee077105abbb20e7cfa1427695b7fd4eb3,round_robin,0,47200.0,54000.0,-403800.0,-360251.05
59,20,39,20,False,145406,11800.0,373330.03,87940.55,461270.58,2020_5000_0_monthly_one_maximum_weekly_31600,2020,5000,0,monthly_one,maximum_weekly_31600,145406,3028b6cdc0860b0e845b6eea593882ee077105abbb20e7cfa1427695b7fd4eb3,reference,0,0,0,0,0
295,295,0,295,True,145406,59000.0,301019.1,56965.1,357984.2,2020_5000_0_monthly_one_maximum_weekly_31600,2020,5000,0,monthly_one,maximum_weekly_31600,145406,3028b6cdc0860b0e845b6eea593882ee077105abbb20e7cfa1427695b7fd4eb3,max_headroom,0,47200.0,37788.9,-72310.93,-103286.38
295,135,160,185,True,145406,59000.0,-37706.75,147760.7,110053.95,2020_5000_0_monthly_one_maximum_weekly_31600,2020,5000,0,monthly_one,maximum_weekly_31600,145406,3028b6cdc0860b0e845b6eea593882ee077105abbb20e7cfa1427695b7fd4eb3,round_robin,0,47200.0,54000.0,-411036.78,-351216.63
59,20,39,20,False,145406,11800.0,270200.0,194311.75,464511.75,2020_5000_0_monthly_one_minimum_calendar_month_30000,2020,5000,0,monthly_one,minimum_calendar_month_30000,145406,3028b6cdc0860b0e845b6eea593882ee077105abbb20e7cfa1427695b7fd4eb3,reference,0,0,0,0,0
295,295,0,295,True,145406,59000.0,200500.0,203487.94,403987.94,2020_5000_0_monthly_one_minimum_calendar_month_30000,2020,5000,0,monthly_one,minimum_calendar_month_30000,145406,3028b6cdc0860b0e845b6eea593882ee077105abbb20e7cfa1427695b7fd4eb3,max_headroom,0,47200.0,33000.0,-69700.0,-60523.81
295,135,160,185,True,145406,59000.0,-8500.0,169541.82,161041.82,2020_5000_0_monthly_one_minimum_calendar_month_30000,2020,5000,0,monthly_one,minimum_calendar_month_30000,145406,3028b6cdc0860b0e845b6eea593882ee077105abbb20e7cfa1427695b7fd4eb3,round_robin,0,47200.0,52000.0,-278700.0,-303469.93
75,20,55,20,False,187188,15000.0,443000.0,101526.53,544526.53,2020_5000_0_weekly_one_minimum_daily_31900,2020,5000,0,weekly_one,minimum_daily_31900,187188,8cd1ffea1c64d81b3ffa6c68ad27345aa2078cb0b1c690a2857e5dff5ff0eb60,reference,0,0,0,0,0
375,375,0,375,True,187188,75000.0,330500.0,1087.2,331587.2,2020_5000_0_weekly_one_minimum_daily_31900,2020,5000,0,weekly_one,minimum_daily_31900,187188,8cd1ffea1c64d81b3ffa6c68ad27345aa2078cb0b1c690a2857e5dff5ff0eb60,max_headroom,0,60000.0,70000.0,-112500.0,-212939.33
375,155,220,264,True,187188,75000.0,-62000.0,166866.95,104866.95,2020_5000_0_weekly_one_minimum_daily_31900,2020,5000,0,weekly_one,minimum_daily_31900,187188,8cd1ffea1c64d81b3ffa6c68ad27345aa2078cb0b1c690a2857e5dff5ff0eb60,round_robin,0,60000.0,70000.0,-505000.0,-439659.58
76,20,56,20,False,187287,15200.0,453735.95,90590.51,544326.46,2020_5000_0_weekly_one_maximum_weekly_31600,2020,5000,0,weekly_one,maximum_weekly_31600,187287,ad82bca7c43897f7c56fb430f9438b6c86b5d6e8e617b63cfb0594308be091e2,reference,0,0,0,0,0
380,380,0,380,True,187287,76000.0,361976.8,75492.8,437469.6,2020_5000_0_weekly_one_maximum_weekly_31600,2020,5000,0,weekly_one,maximum_weekly_31600,187287,ad82bca7c43897f7c56fb430f9438b6c86b5d6e8e617b63cfb0594308be091e2,max_headroom,0,60800.0,71000.0,-91759.15,-106856.86
380,123,257,265,True,187287,76000.0,31518.6,176752.5,208271.1,2020_5000_0_weekly_one_maximum_weekly_31600,2020,5000,0,weekly_one,maximum_weekly_31600,187287,ad82bca7c43897f7c56fb430f9438b6c86b5d6e8e617b63cfb0594308be091e2,round_robin,0,60800.0,71000.0,-422217.35,-336055.36
76,20,56,20,False,188011,15200.0,318800.0,225526.53,544326.53,2020_5000_0_weekly_one_minimum_calendar_month_30000,2020,5000,0,weekly_one,minimum_calendar_month_30000,188011,552d49d3d43670c10b711ed59643f10b9eb2a69033a30e68b734580ef2ede1e7,reference,0,0,0,0,0
380,380,0,380,True,188011,76000.0,223000.0,228828.09,451828.09,2020_5000_0_weekly_one_minimum_calendar_month_30000,2020,5000,0,weekly_one,minimum_calendar_month_30000,188011,552d49d3d43670c10b711ed59643f10b9eb2a69033a30e68b734580ef2ede1e7,max_headroom,0,60800.0,63500.0,-95800.0,-92498.44
380,154,226,266,True,188011,76000.0,20000.0,124474.7,144474.7,2020_5000_0_weekly_one_minimum_calendar_month_30000,2020,5000,0,weekly_one,minimum_calendar_month_30000,188011,552d49d3d43670c10b711ed59643f10b9eb2a69033a30e68b734580ef2ede1e7,round_robin,0,60800.0,71000.0,-298800.0,-399851.83
60,20,40,20,False,146219,12000.0,361600.0,102711.75,464311.75,2020_5000_200_monthly_one_minimum_daily_31900,2020,5000,200,monthly_one,minimum_daily_31900,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,reference,0,0,0,0,0
300,300,0,300,True,146219,60000.0,273000.0,0.0,273000.0,2020_5000_200_monthly_one_minimum_daily_31900,2020,5000,200,monthly_one,minimum_daily_31900,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,max_headroom,0,48000.0,31900.0,-88600.0,-191311.75
300,128,172,220,True,146219,60000.0,-42500.0,151685.38,109185.38,2020_5000_200_monthly_one_minimum_daily_31900,2020,5000,200,monthly_one,minimum_daily_31900,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,round_robin,0,48000.0,43200.0,-404100.0,-355126.37
60,20,40,20,False,146219,12000.0,373130.03,87940.55,461070.58,2020_5000_200_monthly_one_maximum_weekly_31600,2020,5000,200,monthly_one,maximum_weekly_31600,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,reference,0,0,0,0,0
300,300,0,300,True,146219,60000.0,297588.85,70481.45,368070.3,2020_5000_200_monthly_one_maximum_weekly_31600,2020,5000,200,monthly_one,maximum_weekly_31600,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,max_headroom,0,48000.0,29988.9,-75541.18,-93000.28
300,128,172,220,True,146219,60000.0,-36699.55,142778.75,106079.2,2020_5000_200_monthly_one_maximum_weekly_31600,2020,5000,200,monthly_one,maximum_weekly_31600,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,round_robin,0,48000.0,43200.0,-409829.58,-354991.38
60,20,40,20,False,146219,12000.0,270000.0,194311.75,464311.75,2020_5000_200_monthly_one_minimum_calendar_month_30000,2020,5000,200,monthly_one,minimum_calendar_month_30000,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,reference,0,0,0,0,0
300,300,0,300,True,146219,60000.0,196500.0,197763.22,394263.22,2020_5000_200_monthly_one_minimum_calendar_month_30000,2020,5000,200,monthly_one,minimum_calendar_month_30000,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,max_headroom,0,48000.0,26400.0,-73500.0,-70048.53
300,128,172,220,True,146219,60000.0,500.0,167662.93,168162.93,2020_5000_200_monthly_one_minimum_calendar_month_30000,2020,5000,200,monthly_one,minimum_calendar_month_30000,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,round_robin,0,48000.0,42700.0,-269500.0,-296148.82
83,20,63,20,False,208872,16600.0,490700.0,98640.13,589340.13,2020_5000_200_weekly_one_minimum_daily_31900,2020,5000,200,weekly_one,minimum_daily_31900,208872,49d977f73dc366c3d63bb9643fd847f10c97b7eeeacaaeb9b8f68b5707ac5f6c,reference,0,0,0,0,0
415,415,0,415,True,208872,83000.0,339000.0,583.4,339583.4,2020_5000_200_weekly_one_minimum_daily_31900,2020,5000,200,weekly_one,minimum_daily_31900,208872,49d977f73dc366c3d63bb9643fd847f10c97b7eeeacaaeb9b8f68b5707ac5f6c,max_headroom,0,66400.0,70800.0,-151700.0,-249756.73
415,170,245,239,True,208872,83000.0,-58000.0,190345.04,132345.04,2020_5000_200_weekly_one_minimum_daily_31900,2020,5000,200,weekly_one,minimum_daily_31900,208872,49d977f73dc366c3d63bb9643fd847f10c97b7eeeacaaeb9b8f68b5707ac5f6c,round_robin,0,66400.0,70800.0,-548700.0,-456995.09
84,20,64,20,False,208971,16800.0,501273.61,87866.39,589140.0,2020_5000_200_weekly_one_maximum_weekly_31600,2020,5000,200,weekly_one,maximum_weekly_31600,208971,58631edc22d8bf9535daac99c58a4a1efb24569df8eafbaae9b7128e3de3d72f,reference,0,0,0,0,0
420,420,0,420,True,208971,84000.0,378650.61,84623.57,463274.18,2020_5000_200_weekly_one_maximum_weekly_31600,2020,5000,200,weekly_one,maximum_weekly_31600,208971,58631edc22d8bf9535daac99c58a4a1efb24569df8eafbaae9b7128e3de3d72f,max_headroom,0,67200.0,71800.0,-122623.0,-125865.82
420,161,259,297,True,208971,84000.0,-22071.65,185104.25,163032.6,2020_5000_200_weekly_one_maximum_weekly_31600,2020,5000,200,weekly_one,maximum_weekly_31600,208971,58631edc22d8bf9535daac99c58a4a1efb24569df8eafbaae9b7128e3de3d72f,round_robin,0,67200.0,71800.0,-523345.26,-426107.4
84,20,64,20,False,209074,16800.0,362700.0,226440.13,589140.13,2020_5000_200_weekly_one_minimum_calendar_month_30000,2020,5000,200,weekly_one,minimum_calendar_month_30000,209074,9b5aab3987b4e95861dc02f7a0729c5fb13ab44cf77df02ca11756eb034ec9c9,reference,0,0,0,0,0
420,420,0,420,True,209074,84000.0,240000.0,234799.33,474799.33,2020_5000_200_weekly_one_minimum_calendar_month_30000,2020,5000,200,weekly_one,minimum_calendar_month_30000,209074,9b5aab3987b4e95861dc02f7a0729c5fb13ab44cf77df02ca11756eb034ec9c9,max_headroom,0,67200.0,71300.0,-122700.0,-114340.8
420,143,277,266,True,209074,84000.0,112000.0,261347.29,373347.29,2020_5000_200_weekly_one_minimum_calendar_month_30000,2020,5000,200,weekly_one,minimum_calendar_month_30000,209074,9b5aab3987b4e95861dc02f7a0729c5fb13ab44cf77df02ca11756eb034ec9c9,round_robin,0,67200.0,70800.0,-250700.0,-215792.84
33,10,23,12,False,43639,6600.0,87400.0,41814.48,129214.48,2023_1000_0_monthly_one_minimum_daily_31900,2023,1000,0,monthly_one,minimum_daily_31900,43639,3144a09818ebc3c505a834358b44b386566c6fdb5dfb932769e79b1fe1e6e2cf,reference,0,0,0,0,0
165,165,0,165,True,43639,33000.0,58000.0,1500.0,59500.0,2023_1000_0_monthly_one_minimum_daily_31900,2023,1000,0,monthly_one,minimum_daily_31900,43639,3144a09818ebc3c505a834358b44b386566c6fdb5dfb932769e79b1fe1e6e2cf,max_headroom,0,26400.0,6500.0,-29400.0,-69714.48
165,65,100,95,True,43639,33000.0,-32500.0,46697.4,14197.4,2023_1000_0_monthly_one_minimum_daily_31900,2023,1000,0,monthly_one,minimum_daily_31900,43639,3144a09818ebc3c505a834358b44b386566c6fdb5dfb932769e79b1fe1e6e2cf,round_robin,0,26400.0,32000.0,-119900.0,-115017.08
33,10,23,12,False,43639,6600.0,91356.2,34617.19,125973.39,2023_1000_0_monthly_one_maximum_weekly_31600,2023,1000,0,monthly_one,maximum_weekly_31600,43639,3144a09818ebc3c505a834358b44b386566c6fdb5dfb932769e79b1fe1e6e2cf,reference,0,0,0,0,0
165,165,0,165,True,43639,33000.0,67133.6,23589.87,90723.47,2023_1000_0_monthly_one_maximum_weekly_31600,2023,1000,0,monthly_one,maximum_weekly_31600,43639,3144a09818ebc3c505a834358b44b386566c6fdb5dfb932769e79b1fe1e6e2cf,max_headroom,0,26400.0,6179.3,-24222.6,-35249.92
165,65,100,95,True,43639,33000.0,-31108.5,43697.4,12588.9,2023_1000_0_monthly_one_maximum_weekly_31600,2023,1000,0,monthly_one,maximum_weekly_31600,43639,3144a09818ebc3c505a834358b44b386566c6fdb5dfb932769e79b1fe1e6e2cf,round_robin,0,26400.0,32000.0,-122464.7,-113384.49
34,10,24,12,False,43888,6800.0,64200.0,64814.48,129014.48,2023_1000_0_monthly_one_minimum_calendar_month_30000,2023,1000,0,monthly_one,minimum_calendar_month_30000,43888,4c79694aba7cf657722cf0151da81d45012e9842fde77d1ffef0f59b7e7c681b,reference,0,0,0,0,0
170,170,0,170,True,43888,34000.0,39500.0,73521.71,113021.71,2023_1000_0_monthly_one_minimum_calendar_month_30000,2023,1000,0,monthly_one,minimum_calendar_month_30000,43888,4c79694aba7cf657722cf0151da81d45012e9842fde77d1ffef0f59b7e7c681b,max_headroom,0,27200.0,6000.0,-24700.0,-15992.77
170,70,100,78,True,43888,34000.0,-9000.0,50866.55,41866.55,2023_1000_0_monthly_one_minimum_calendar_month_30000,2023,1000,0,monthly_one,minimum_calendar_month_30000,43888,4c79694aba7cf657722cf0151da81d45012e9842fde77d1ffef0f59b7e7c681b,round_robin,0,27200.0,15500.0,-73200.0,-87147.93
36,20,16,20,False,95753,7200.0,233800.0,85032.05,318832.05,2023_1000_0_weekly_one_minimum_daily_31900,2023,1000,0,weekly_one,minimum_daily_31900,95753,2972c76545d18dea69465909fcd201c9f59a548032ae885859d3694c8731ea46,reference,0,0,0,0,0
180,180,0,180,True,95753,36000.0,192000.0,20487.03,212487.03,2023_1000_0_weekly_one_minimum_daily_31900,2023,1000,0,weekly_one,minimum_daily_31900,95753,2972c76545d18dea69465909fcd201c9f59a548032ae885859d3694c8731ea46,max_headroom,0,28800.0,17000.0,-41800.0,-106345.02
182,68,114,146,True,95753,36400.0,3600.0,85055.55,88655.55,2023_1000_0_weekly_one_minimum_daily_31900,2023,1000,0,weekly_one,minimum_daily_31900,95753,2972c76545d18dea69465909fcd201c9f59a548032ae885859d3694c8731ea46,round_robin,2,29200.0,31400.0,-230200.0,-230176.5
32,20,12,20,False,95983,6400.0,246778.65,94706.36,341485.01,2023_1000_0_weekly_one_maximum_weekly_31600,2023,1000,0,weekly_one,maximum_weekly_31600,95983,242bd301da4f9756fb33946d5ad391ee9185cec5dfa10cb9a548180faee6c52c,reference,0,0,0,0,0
160,160,0,160,True,95983,32000.0,222437.35,64769.61,287206.96,2023_1000_0_weekly_one_maximum_weekly_31600,2023,1000,0,weekly_one,maximum_weekly_31600,95983,242bd301da4f9756fb33946d5ad391ee9185cec5dfa10cb9a548180faee6c52c,max_headroom,0,25600.0,15000.0,-24341.3,-54278.05
193,60,133,146,True,95983,38600.0,46014.9,52411.27,98426.17,2023_1000_0_weekly_one_maximum_weekly_31600,2023,1000,0,weekly_one,maximum_weekly_31600,95983,242bd301da4f9756fb33946d5ad391ee9185cec5dfa10cb9a548180faee6c52c,round_robin,33,32200.0,31400.0,-200763.75,-243058.84
36,20,16,20,False,96599,7200.0,185300.0,151491.57,336791.57,2023_1000_0_weekly_one_minimum_calendar_month_30000,2023,1000,0,weekly_one,minimum_calendar_month_30000,96599,a7489cb30c386a83ded196f8f68daa620552ccec774c7a5ff6fa5c33f1f1bf0a,reference,0,0,0,0,0
180,180,0,180,True,96599,36000.0,157000.0,178176.95,335176.95,2023_1000_0_weekly_one_minimum_calendar_month_30000,2023,1000,0,weekly_one,minimum_calendar_month_30000,96599,a7489cb30c386a83ded196f8f68daa620552ccec774c7a5ff6fa5c33f1f1bf0a,max_headroom,0,28800.0,22500.0,-28300.0,-1614.62
