at,kind,eval_id,count
2020-03-05T00:00:00,renewal_unaffordable,5,
2020-03-05T00:00:00,start_unaffordable,,1
2020-03-06T00:00:00,renewal_unaffordable,6,
2020-03-06T00:00:00,start_unaffordable,,1
2020-03-07T00:00:00,renewal_unaffordable,7,
2020-03-07T00:00:00,start_unaffordable,,1
2020-03-08T00:00:00,renewal_unaffordable,8,
2020-03-08T00:00:00,start_unaffordable,,1
2020-03-09T00:00:00,renewal_unaffordable,9,
2020-03-09T00:00:00,start_unaffordable,,1
2020-03-10T00:00:00,renewal_unaffordable,10,
2020-03-10T00:00:00,start_unaffordable,,1
2020-03-11T00:00:00,renewal_unaffordable,11,
2020-03-11T00:00:00,start_unaffordable,,1
2020-03-12T00:00:00,start_unaffordable,,1
2020-03-13T00:00:00,start_unaffordable,,1
2020-03-14T00:00:00,start_unaffordable,,1
2020-03-15T00:00:00,start_unaffordable,,1
2020-03-16T00:00:00,start_unaffordable,,1
2020-03-17T00:00:00,start_unaffordable,,1
2020-03-18T00:00:00,start_unaffordable,,1
2020-03-19T00:00:00,start_unaffordable,,1
2020-03-20T00:00:00,start_unaffordable,,1
2020-03-21T00:00:00,start_unaffordable,,1
2020-03-22T00:00:00,start_unaffordable,,1
2020-03-23T00:00:00,start_unaffordable,,1
2020-03-24T00:00:00,start_unaffordable,,1
2020-03-25T00:00:00,start_unaffordable,,1
2020-03-26T00:00:00,start_unaffordable,,1
2020-03-27T00:00:00,start_unaffordable,,1
2020-03-28T00:00:00,start_unaffordable,,1
2020-03-29T00:00:00,start_unaffordable,,1
2020-03-30T00:00:00,start_unaffordable,,1
2020-03-31T00:00:00,start_unaffordable,,1
2020-04-05T00:00:00,start_unaffordable,,1
2020-04-06T00:00:00,start_unaffordable,,1
2020-04-07T00:00:00,start_unaffordable,,1
2020-04-08T00:00:00,activation_blocked,15,
2020-04-08T00:00:00,start_unaffordable,,1
2020-04-09T00:00:00,activation_blocked,15,
2020-04-09T00:00:00,start_unaffordable,,1
2020-04-10T00:00:00,activation_blocked,15,
2020-04-10T00:00:00,start_unaffordable,,1
2020-04-11T00:00:00,activation_blocked,15,
2020-04-11T00:00:00,start_unaffordable,,1
2020-04-12T00:00:00,activation_blocked,15,
2020-04-12T00:00:00,start_unaffordable,,1
2020-04-13T00:00:00,activation_blocked,15,
2020-04-13T00:00:00,start_unaffordable,,1
2020-04-14T00:00:00,activation_blocked,15,
2020-04-14T00:00:00,start_unaffordable,,1
2020-04-15T00:00:00,activation_blocked,15,
2020-04-15T00:00:00,start_unaffordable,,1
2020-04-16T00:00:00,activation_blocked,15,
2020-04-16T00:00:00,start_unaffordable,,1
2020-04-17T00:00:00,activation_blocked,15,
2020-04-17T00:00:00,start_unaffordable,,1
2020-04-18T00:00:00,activation_blocked,15,
2020-04-18T00:00:00,start_unaffordable,,1
2020-04-19T00:00:00,activation_blocked,15,
2020-04-19T00:00:00,start_unaffordable,,1
2020-04-20T00:00:00,activation_blocked,15,
2020-04-20T00:00:00,start_unaffordable,,1
2020-04-21T00:00:00,activation_blocked,15,
2020-04-21T00:00:00,start_unaffordable,,1
2020-04-22T00:00:00,activation_blocked,15,
2020-04-22T00:00:00,start_unaffordable,,1
2020-04-23T00:00:00,activation_blocked,15,
2020-04-23T00:00:00,start_unaffordable,,1
2020-04-24T00:00:00,activation_blocked,15,
2020-04-24T00:00:00,start_unaffordable,,1
2020-04-25T00:00:00,activation_blocked,15,
2020-04-25T00:00:00,start_unaffordable,,1
2020-04-26T00:00:00,activation_blocked,15,
2020-04-26T00:00:00,start_unaffordable,,1
2020-04-27T00:00:00,activation_blocked,15,
2020-04-27T00:00:00,start_unaffordable,,1
2020-04-28T00:00:00,activation_blocked,15,
2020-04-28T00:00:00,start_unaffordable,,1
2020-04-29T00:00:00,activation_blocked,15,
2020-04-29T00:00:00,start_unaffordable,,1
2020-04-30T00:00:00,activation_blocked,15,
2020-04-30T00:00:00,start_unaffordable,,1
2020-05-02T00:00:00,start_unaffordable,,1
2020-05-03T00:00:00,renewal_unaffordable,3,
2020-05-03T00:00:00,renewal_unaffordable,16,
2020-05-03T00:00:00,start_unaffordable,,1
2020-05-04T00:00:00,renewal_unaffordable,4,
2020-05-04T00:00:00,renewal_unaffordable,17,
2020-05-04T00:00:00,start_unaffordable,,1
2020-05-05T00:00:00,start_unaffordable,,1
2020-05-06T00:00:00,start_unaffordable,,1
2020-05-07T00:00:00,start_unaffordable,,1
2020-05-08T00:00:00,start_unaffordable,,1
2020-05-09T00:00:00,activation_blocked,14,
2020-05-09T00:00:00,activation_blocked,18,
2020-05-09T00:00:00,start_unaffordable,,1
2020-05-10T00:00:00,activation_blocked,14,
2020-05-10T00:00:00,activation_blocked,18,
2020-05-10T00:00:00,start_unaffordable,,1
2020-05-11T00:00:00,activation_blocked,14,
2020-05-11T00:00:00,activation_blocked,18,
2020-05-11T00:00:00,start_unaffordable,,1
2020-05-12T00:00:00,activation_blocked,14,
2020-05-12T00:00:00,activation_blocked,18,
2020-05-12T00:00:00,start_unaffordable,,1
2020-05-13T00:00:00,activation_blocked,14,
2020-05-13T00:00:00,activation_blocked,18,
2020-05-13T00:00:00,start_unaffordable,,1
2020-05-14T00:00:00,activation_blocked,14,
2020-05-14T00:00:00,activation_blocked,18,
2020-05-14T00:00:00,start_unaffordable,,1
2020-05-15T00:00:00,activation_blocked,14,
2020-05-15T00:00:00,activation_blocked,18,
2020-05-15T00:00:00,start_unaffordable,,1
