arm,strategy,risk_reward,case,start,end,survived,breached,trade_key,interval_start,exit,accepted,closed,open_at_end,minimum_headroom_usd,quarter_net_pnl_usd,selection_sha256
RR:0.50,RR,0.50,3m_2020-01-01,2020-01-01T00:00:00,2020-04-01T00:00:00,True,False,,,,381,381,0,1115.00,1459.95,d98d48125b16bfc24e57609551e8587d272b128b96fe85348bd7f9a0035c414e
RR:0.50,RR,0.50,3m_2020-04-01,2020-04-01T00:00:00,2020-07-01T00:00:00,True,False,,,,398,398,0,1170.05,208.10,856e715eeeffc194ba60dac7c76654562794808c6671e6ac7775bb9d098a970c
RR:0.50,RR,0.50,3m_2020-07-01,2020-07-01T00:00:00,2020-10-01T00:00:00,True,False,,,,397,397,0,1378.65,1325.15,057bf5203ec1c768162422d3745892a7933b0de5996261d09bedf23331a5360d
RR:0.50,RR,0.50,3m_2020-10-01,2020-10-01T00:00:00,2021-01-01T00:00:00,True,False,,,,398,398,0,821.65,-668.90,d8bb54dd775d566a88450c1879d9084ecd4ac8f78e44658b056ca35e8d614c7d
RR:0.50,RR,0.50,3m_2021-01-01,2021-01-01T00:00:00,2021-04-01T00:00:00,True,False,,,,384,384,0,435.20,-30.20,0b8e490ecb38b2578feeaf5f16d2945693342e323aac8b1b4a4f4dab328dfca8
RR:0.50,RR,0.50,3m_2021-04-01,2021-04-01T00:00:00,2021-07-01T00:00:00,False,True,RR0.50:22-23:110:423,2021-05-18T22:31:40,2021-05-18T22:53:40,408,408,0,-1222.15,-2305.40,e350f00d88f186a399be5e51b52324184a3d5f20a0bfa0ee553774c0620c22ac
RR:0.50,RR,0.50,3m_2021-07-01,2021-07-01T00:00:00,2021-10-01T00:00:00,True,False,,,,405,405,0,1077.95,-167.75,d4f099f76a7156b5ddec303417f71ad6ad65685eb5930c783e0d0a477393f277
RR:0.50,RR,0.50,3m_2021-10-01,2021-10-01T00:00:00,2022-01-01T00:00:00,True,False,,,,385,385,0,1355.90,587.75,0d8c707240542100474186c64f668a2380f7e316fee4bb6211c02d26ab2bf5cc
RR:0.50,RR,0.50,3m_2022-01-01,2022-01-01T00:00:00,2022-04-01T00:00:00,True,False,,,,399,399,0,379.20,2891.55,2f6e0689ad1cb7cb7e650cc7e29f44990c5669f43d893258b91d8f8d394db97d
RR:0.50,RR,0.50,3m_2022-04-01,2022-04-01T00:00:00,2022-07-01T00:00:00,False,True,RR0.50:22-23:201:773,2022-06-14T22:39:20,2022-06-14T23:30:00,426,426,0,-361.65,-1790.80,ea46654db4d2d41b40b31cff5bfa6eb4305dfca5edc73644587c16246c501c81
